Song,Artist,Genre,Embed-link
Started From The Bottom,Drake,Rap,RubBzkZzpUA
Marvins Room,Drake,Rap,JDb3ZZD4bA0
Fake Love,Drake,Rap,k9o6HN9pQXY
Forever,Drake,Rap,eDuRoPIOBjE
Know Yourself,Drake,Rap,MKiLZEoAKgQ
Mannish Boy,Muddy Waters,Blues,bSfqNEvykv0
Baby Please Dont Go,Muddy Waters,Blues,Mbao_laqF8E
Hoochie Coochie Man,Muddy Waters,Blues,U5QKpsVzndc
Got My Mojo Working,Muddy Waters,Blues,8hEYwk0bypY
I Cant Be Satisfied,Muddy Waters,Blues,vTgwDknZlkA
Rollin Stone,Muddy Waters,Blues,sVmEMv8rcCA
I Am The Blues,Muddy Waters,Blues,fmTS4TieO28
Sad Sad Days,Muddy Waters,Blues,UQooHakuf7c
Blow Wind Blow,Muddy Waters,Blues,Eu3CbGyKgiA
Im A King Bee,Muddy Waters,Blues,vD0gk4pcUvY
I Want To Be Loved,Muddy Waters,Blues,YM-RJs2Kagk
Long Distance Call,Muddy Waters,Blues,OD9fRI_SgAg
I Feel Like Going Home,Muddy Waters,Blues,bRcQMdgd45Q
Shes Nineteen Years Old,Muddy Waters,Blues,Ucx6xQ3syN0
Catfish Blues,Muddy Waters,Blues,BtmmHLrgjPA
Deep Down In Florida,Muddy Waters,Blues,E7rv8pu-0z0
She Moves Me,Muddy Waters,Blues,OmbTLK0yPB8
Shes All Right,Muddy Waters,Blues,pM1RPsuYP_8
Big Leg Woman,Muddy Waters,Blues,n6kUs4rTFUU
Still A Fool,Muddy Waters,Blues,-DHX3hIarJ4
Help The Poor,B B King,Blues,aIyaw8zjfIg
Sweet Little Angle,B B King,Blues,dNr_eIgP0tI
Happy Birthday Blues,B B King,Blues,ZaTEdi9tKDM
How Blue Can You Get,B B King,Blues,l45f28PzfCI
Three OClock Blues,B B King,Blues,d9ozjCQkqZs
Rock Me Baby,B B King,Blues,2cFO5jpfF5w
Why I Sing Blues,B B King,Blues,HJrZ1LAOLYQ
Dont Answer The Door,B B King,Blues,UJ3sBcQBDtU
Youre Gonna Miss Me,B B King,Blues,ubvBuvAJnCs
Everyday I Have The Blues,B B King,Blues,xtwUqXCQvAI
Ghetto Woman,B B King,Blues,XVToI6D4P-s
Ten Long Years,B B King,Blues,oFDraWR1Imc
Blues In ‘G,B B King,Blues,fr1ym6P8T0k
Crossroads,B B King,Blues,SgXSomPE_FY
Driving Wheel,B B King,Blues,PqXO0yYkwNU
Hold On Im Coming,B B King,Blues,_6fljxCXuh0
Lucille,B B King,Blues,-Y8QxOjuYHg
"My Own Fault, Baby",B B King,Blues,gZJfAQ3Mnh4
Chains And Things,B B King,Blues,fJJ4lI631Ng
Blues Boys Tune,B B King,Blues,AU432SxopNM
Hide Away,Freddie King,Blues,wEmGbMd2duk
Im Tore Down,Freddie King,Blues,QJvpWZeg_NM
Going Down,Freddie King,Blues,V_ONyukSLqA
San-Ho-Zay,Freddie King,Blues,D_fJzq4Wt6c
The Stumble,Freddie King,Blues,KsY7etEHtvM
Same Old Blues,Freddie King,Blues,ZLTEJQJqGik
Pack It Up,Freddie King,Blues,7bP5BXYQRuQ
Big Legged Woman,Freddie King,Blues,HXXkD7Dvq_E
Sugar Sweet,Freddie King,Blues,rBV_ofB2ghQ
I Love The Woman,Freddie King,Blues,SxQegZaQ2W0
Me And My Guitar,Freddie King,Blues,vOBdFVhP4QE
Its Too Bad,Freddie King,Blues,5dcOiJNTRZw
Boogie Funk,Freddie King,Blues,iLxfmPg71g8
Texas Flyer,Freddie King,Blues,wlJuQR6bYts
Lowdown In Lodi,Freddie King,Blues,uCX_r0zET_o
You Wre Wrong,Freddie King,Blues,P-5xIPAzZuM
Dust My Broom,Freddie King,Blues,c5IgmPInr6s
Palace Of The King,Freddie King,Blues,xP12Z1X5TEQ
Aint Nobodys Buisness,Freddie King,Blues,I8qRkRi65F0
Living On The Highway,Freddie King,Blues,xLE2iCFOzYE
Boom Boom,John Lee Hooker,Blues,X70VMrH3yBg
Shake It Baby,John Lee Hooker,Blues,tnPnrtKn9fY
House Rent Boogie,John Lee Hooker,Blues,lAWHXNG_4CM
Baby Lee,John Lee Hooker,Blues,w1R1_z09qFA
This Is Hip,John Lee Hooker,Blues,K8X9-yE_RDQ
Sugar Mama,John Lee Hooker,Blues,F28p5Ady4Ps
No More Doggin,John Lee Hooker,Blues,RMfm9RfsPUQ
Water Front,John Lee Hooker,Blues,pUkBGERTcdQ
"Big Legs, Tight Skirt",John Lee Hooker,Blues,YbpNov5kIKg
No Shoes,John Lee Hooker,Blues,m9Sv-SNDqgo
Buring Hell,John Lee Hooker,Blues,7YS2u7N-bno
Meet Me In The Bottom,John Lee Hooker,Blues,NYZjPPkk7-s
Dirty Ground Hog Blues,John Lee Hooker,Blues,oL7jU_q2_Vc
Frisco Blues,John Lee Hooker,Blues,sgTPnI7md6A
Please Dont Go,John Lee Hooker,Blues,cGWHxgG0FA4
Im Bad Like Jesse James,John Lee Hooker,Blues,r_ZVrR6lD4s
Sally Mae,John Lee Hooker,Blues,63pdta81jZo
Rock With Me,John Lee Hooker,Blues,KBqcE55lvxM
Whiskey And Wimmen,John Lee Hooker,Blues,gGrADAAvrkE
Chill Out,John Lee Hooker,Blues,XaY4871S3LE
Spoonful,Howlin Wolf,Blues,3LFjHo7Cdrw
I Aint Superstitious,Howlin Wolf,Blues,aIkwAoWqE6E
Smokestack Lightnin,Howlin Wolf,Blues,9Ri7TcukAJ8
Goin Down Slow,Howlin Wolf,Blues,mYRuh8V94zo
How Many More Years,Howlin Wolf,Blues,OpKB6OZ_B4c
Build For Comfort,Howlin Wolf,Blues,GgTjuDh7dVA
Down In The Bottom,Howlin Wolf,Blues,D1aLMm-n2qE
Do The Do,Howlin Wolf,Blues,mbCrotH9hpI
Whos Been Talkin,Howlin Wolf,Blues,U4TXzF5tjm0
Evil,Howlin Wolf,Blues,osnDVXlhxPw
Howlin For My Darlin,Howlin Wolf,Blues,BpfcPAUXWGc
Moanin At Midnight,Howlin Wolf,Blues,bvUCeQQSDhw
All My Life,Howlin Wolf,Blues,p1MMK1Mlz28
Cant Put Me Out,Howlin Wolf,Blues,3EPEQXeL30w
Aint Gon Down That Dirt Road,Howlin Wolf,Blues,0JrNt_Ng9Vo
Baby How Long,Howlin Wolf,Blues,6rVD0rNLsUA
Baby Ride With Me,Howlin Wolf,Blues,tr0oSoFU0Cw
Blind Love,Howlin Wolf,Blues,A4DieCrPBmQ
Bluebird,Howlin Wolf,Blues,znje2d5SSRs
Break Of Day,Howlin Wolf,Blues,mFny38r2rXE
"Damn Right, Ive Got The Blues",Buddy Guy,Blues,3hjqqa5tq5k
First Time I Met The Blues,Buddy Guy,Blues,k_rd8y8A2oE
Mustang Sally,Buddy Guy,Blues,zdEHsGK-fBs
Feels Like Rain,Buddy Guy,Blues,QButLzJB5SI
Stone Crazy,Buddy Guy,Blues,m_0WNprb8D8
Let Me Love You Baby,Buddy Guy,Blues,0EZHq8zpfGI
Five Long Years,Buddy Guy,Blues,n_4UmAY852I
I Smell Trouble,Buddy Guy,Blues,lpGJQWdInfg
Ten Years Ago,Buddy Guy,Blues,7ayAczgxhFo
Rememberin Stevie,Buddy Guy,Blues,ZBDuseftpTA
My Time After Awhile,Buddy Guy,Blues,k8Ldbty-a8E
Baby Please Dont Leave Me,Buddy Guy,Blues,D6tdlmx_GO4
Midnight Train,Buddy Guy,Blues,EpNBHdFL53A
Cut You Lose,Buddy Guy,Blues,xgrXhAEl6eI
Leave My Girl Alone,Buddy Guy,Blues,ELb-B2rO5Gs
Mary Had A Little Lamb,Buddy Guy,Blues,p9Uznpjmsng
Black Night,Buddy Guy,Blues,HkC71r78bb4
I Suffer With The Blue,Buddy Guy,Blues,uD8bJCGqg5M
Done Got Old,Buddy Guy,Blues,5UjW-Rd2B3o
Now Youre Gone,Buddy Guy,Blues,VtwXrW6AxEc
Hai Rama, A R Rahman,Bollywood,IxqB1xUX36s
Tu Hi Re, A R Rahman,Bollywood,ZgOOGVVryUs
Chaiyya Chaiyya, A R Rahman,Bollywood,PQmrmVs10X8
Taal Se Taal, A R Rahman,Bollywood,G2q0VgIE8K0
Mitwa, A R Rahman,Bollywood,uC3DmRfEigg
Saathiya, A R Rahman,Bollywood,BXv8RedlK20
Yun Hi Chala Chala, A R Rahman,Bollywood,eEeX2QMlSlo
Fana, A R Rahman,Bollywood,VauiR3Ycf3M
Khalbali, A R Rahman,Bollywood,wfNxbB_EG1s
Barso Re, A R Rahman,Bollywood,asw-wTDzGUQ
Jashn E Bahaara, A R Rahman,Bollywood,fuQDCCbQOVA
Tu Bole Main Boloon, A R Rahman,Bollywood,zYnpmolkOl8
Jai Ho, A R Rahman,Bollywood,xwwAVRyNmgQ
Masakali, A R Rahman,Bollywood,SS3lIQdKP-A
Kun Faya Kun, A R Rahman,Bollywood,T94PHkuydcw
Hosanna, A R Rahman,Bollywood,dfNdRsNSFx4
Challa, A R Rahman,Bollywood,9a4izd3Rvdw
Piya Milenge, A R Rahman,Bollywood,QlHeJ7cWD38
Patakha Guddi, A R Rahman,Bollywood,30zJZPb-o3Q
Agar Tum Sath Ho, A R Rahman,Bollywood,sK7riqg2mr4
Iktara,Amit Trivedi,Bollywood,mq5G2z4Rjp8
Zinda,Amit Trivedi,Bollywood,Qgn73pWGK8s
Manja,Amit Trivedi,Bollywood,jZbXUVEFLv8
Love You Zindagi,Amit Trivedi,Bollywood,_GtJmOSD-Rk
Namo Namo,Amit Trivedi,Bollywood,8b2sG8iIoGM
Pashmina,Amit Trivedi,Bollywood,brPyUdXghMk
Sham,Amit Trivedi,Bollywood,fFyXcX-s0C8
Nayan Tarse,Amit Trivedi,Bollywood,LuW1IdlPEvg
Sawaar Loon,Amit Trivedi,Bollywood,6k8Aja80GQM
Dhak Dhuk,Amit Trivedi,Bollywood,aLgeJLouOtQ
Lodon Thumakda,Amit Trivedi,Bollywood,N4YmYBp1ra8
Suno Aisha,Amit Trivedi,Bollywood,fAzO3s7Dgnw
Badra Bahaar,Amit Trivedi,Bollywood,77oauDmF7Zk
Gal Mithi Mithi,Amit Trivedi,Bollywood,ZHsKQ_R0ZqI
Gubbare,Amit Trivedi,Bollywood,2sacrTlQxWs
Pareshaan,Amit Trivedi,Bollywood,Q527ed5FnW8
Gulaabo,Amit Trivedi,Bollywood,bUTdUaVmj8o
Shaam Shaandaar,Amit Trivedi,Bollywood,D21Di3NXcYM
Aazaadiyan,Amit Trivedi,Bollywood,NJc9H90Q7B0
Ud-Daa Punjab,Amit Trivedi,Bollywood,Ezsb5afVXQQ
Pairon Mein Bandhan Hai,Lata Mangeskar,Bollywood,bC7RmYYMqTw
Dilwale Dulhania Le Jayenge,Lata Mangeskar,Bollywood,hw_HpTI_Wkw
Zindagi Ki Na Toote Ladi,Lata Mangeskar,Bollywood,0K8wJnCq2pY
Ek Pyaar Ka Nagma Hai,Lata Mangeskar,Bollywood,x6WO9mxVC_M
Babul Pyare,Lata Mangeskar,Bollywood,iOIvRu2fmQE
Kabootar Ja Ja Ja,Lata Mangeskar,Bollywood,Fzw49vnGhxU
Jis Path Pe Chala,Lata Mangeskar,Bollywood,2WLkl1hVZmw
Pyar Karne Wale,Lata Mangeskar,Bollywood,i4ywnXoswbk
Lag Jaa Gale,Lata Mangeskar,Bollywood,TFr6G5zveS8
Wada Na Tod,Lata Mangeskar,Bollywood,Oq6q4HPBc5Q
Shayad Meri Shaadi,Lata Mangeskar,Bollywood,xtrEjGdlfYc
Mehboob Mere,Lata Mangeskar,Bollywood,
O Mere Sanam,Lata Mangeskar,Bollywood,EagBXY4TqKI
Milo Na Tum,Lata Mangeskar,Bollywood,gn_cO002sm0
Gori Hai Kalaiyan,Lata Mangeskar,Bollywood,tTcTBjW1YHU
Aisa Des Hai Mera,Lata Mangeskar,Bollywood,wDheWYmNEhQ
Jaadu Teri Nazar,Lata Mangeskar,Bollywood,FD3vgLOEdgk
Zindagi Pyaar Ka Geet Hai ,Lata Mangeskar,Bollywood,NR4kH47eQvI
Dafli Wale Dafli Baja,Lata Mangeskar,Bollywood,dkmLa5JrVr4
Tumse Milkar Na Jane,Lata Mangeskar,Bollywood,La9k-z2cQQ4
Tum Hi Ho,Arjit Singh,Bollywood,IJq0yyWug1k
Soch Na Sake,Arjit Singh,Bollywood,0-YrRDlV0Gg
Raabta,Arjit Singh,Bollywood,zlt38OOqwDc
Channa Mereya,Arjit Singh,Bollywood,bzSTpdcs-EI
Muskurane,Arjit Singh,Bollywood,HQ4Ox7mLqds
Mast Magan,Arjit Singh,Bollywood,n0L6uHhzWIw
Duaa,Arjit Singh,Bollywood,OwZ54OjAMK0
Ae Dil Hai Mushkil,Arjit Singh,Bollywood,6FURuLYrR_Q
Phir Bhi Tumko Chaahunga,Arjit Singh,Bollywood,_iktURk0X-A
Phir Mohabbat,Arjit Singh,Bollywood,kmzwvl1vW24
Humdard,Arjit Singh,Bollywood,FJ55SHCzt88
Hawayein,Arjit Singh,Bollywood,cYOB941gyXI
Hamari Adhuri Kahani,Arjit Singh,Bollywood,f3FFOBrMmdg
Bolna,Arjit Singh,Bollywood,GYFDRoJtfGM
Laal Ishq,Arjit Singh,Bollywood,bD1gepaUZms
Dilliwaali Girlfriend,Arjit Singh,Bollywood,1cDoRqPnCXU
Zaalima,Arjit Singh,Bollywood,hhdSyBHuI88
Janam Janam,Arjit Singh,Bollywood,tdzhFbH6FrU
Ik Vaari Aa,Arjit Singh,Bollywood,zXLgYBSdv74
Aaj Phir,Arjit Singh,Bollywood,LWna8JKjfiQ
Deewani Mastani,Shreya Goshal,Bollywood,sl6dEJ9adZ4
Sunn Raha Hai,Shreya Goshal,Bollywood,z65MTQQjgjg
Chikni Chameli,Shreya Goshal,Bollywood,fhvWWbxeGNI
Ghoomar,Shreya Goshal,Bollywood,kUcySPHs2ow
Nagada Sang Dhol,Shreya Goshal,Bollywood,nzKBZ4pByYM
Bairi Piya,Shreya Goshal,Bollywood,rpSI1mMD7Sc
Agar Tum Mil Jao,Shreya Goshal,Bollywood,mNp-suCDowA
Barso Re,Shreya Goshal,Bollywood,4T9PxP9wMm0
Jaadu Hai Nasha Hai,Shreya Goshal,Bollywood,oYrzR_c9aZA
Saans,Shreya Goshal,Bollywood,_AW4yBTfiwc
Samjhawan,Shreya Goshal,Bollywood,Me6uwrDPWyE
Ye Ishq Hai,Shreya Goshal,Bollywood,pvOI8eD1wLU
Teri Ore,Shreya Goshal,Bollywood,zRFjfTAR5ZE
Thodi Der,Shreya Goshal,Bollywood,C8zTh_Cs95w
Raat Bhar,Shreya Goshal,Bollywood,2Dw4h_SVxyc
Chaar Kadam,Shreya Goshal,Bollywood,j3GcPnTwERo
Teri Meri,Shreya Goshal,Bollywood,0Fegb4Ew8SM
Saibo,Shreya Goshal,Bollywood,bxySfz2MVrQ
Nanga Punga Dost,Shreya Goshal,Bollywood,m2a3WlRyWGM
Radha,Shreya Goshal,Bollywood,hI6gHUUzkuI
Aur Tum Aaye,Sonu Nigam,Bollywood,KNeKkdfbvc0
Ab Mujhe Raat Din,Sonu Nigam,Bollywood,wsPDQBWHlS8
Bhula Denge Tum Ko Sanam,Sonu Nigam,Bollywood,8Q2YA5_sOZY
Ye Dil To Mila Hai,Sonu Nigam,Bollywood,xab6Hi5XwkQ
Mera Yaar Dildar,Sonu Nigam,Bollywood,ltiVnd5dJCI
Soniyo,Sonu Nigam,Bollywood,pDq_MzzVaA8
Sona Sona,Sonu Nigam,Bollywood,7YV0GlfRZ5Q
Jal Jal Ke Dhuan,Sonu Nigam,Bollywood,NfMnMCC8anU
Hans Mat  Pagli,Sonu Nigam,Bollywood,J48yYO19caE
Sab Kuchh Bhula diya,Sonu Nigam,Bollywood,wwmmhhz58Mw
Is Kadar Pyar Hai Tumse,Sonu Nigam,Bollywood,VcbzW874Qag
Tere Rang Balle Balle,Sonu Nigam,Bollywood,TKYI5UJTfVw
Ye Dhokhe Pyar Ke Dhokhe,Sonu Nigam,Bollywood,FgIJYBZ_EPM
Main Agar Kahoon,Sonu Nigam,Bollywood,f1B_N7Gx5Zg
Chhoti Chhoti Raatein,Sonu Nigam,Bollywood,_NyhCA6BJsM
Tera Pallu Sarka Jaye Re,Sonu Nigam,Bollywood,uMGizRuDiSU
Dil Dooba,Sonu Nigam,Bollywood,SAiyopkF22M
Aisa Deewana,Sonu Nigam,Bollywood,X4TyG9grBSw
Bole Chudiyan,Sonu Nigam,Bollywood,8KShBo7U06U
O Sahiba O Sahiba,Sonu Nigam,Bollywood,sWSs7w7MXYc
